CustomerID,CustomerName,CustomerEmail,Customernumber,CustomerJoin,CustomerLife,CustomerDOB,CustomerAge,CustomerGender,IsActive,CustomerLastPurchaseDate
1,Wesley Elliott,wesleyelliott.8jd@gmail.com,142-282-4542,02/12/2017,7,10/10/1997,,M,1,10/08/2023
2,Brenda Kemp,brendakemp.gze@gmail.com,622-783-2616,11/02/2022,2,28/11/2016,,F,0,27/12/2024
3,Kara Gomez,karagomez.d0k@gmail.com,978-839-5727,17/08/2020,4,24/11/2014,,F,0,25/11/2024
4,Bryan Leonard,bryanleonard.xix@gmail.com,155-204-6450,06/04/2022,2,14/03/2014,,M,1,18/12/2023
5,Paige Garcia,paigegarcia.q9o@gmail.com,230-773-1343,13/11/2019,5,08/12/2013,,F,1,11/06/2024
6,Jasmine Walker,jasminewalker.r04@gmail.com,370-894-3990,03/10/2024,0,18/11/1996,,F,1,22/09/2022
7,Erin Finley,erinfinley.m8t@gmail.com,252-981-7345,17/05/2019,5,19/01/2011,,F,0,17/11/2023
8,Robert Townsend,roberttownsend.hlt@gmail.com,861-532-6579,02/06/2018,6,21/01/2015,,M,1,23/03/2023
9,Jason Miller,jasonmiller.5zn@gmail.com,696-457-6312,26/02/2019,5,11/08/1998,,M,0,11/04/2024
10,Kathryn Young,kathrynyoung.97c@gmail.com,845-565-9031,28/09/2015,9,01/03/2013,,F,0,08/05/2023
11,Eric Rubio,ericrubio.gyy@gmail.com,138-514-7432,28/06/2018,6,23/11/2008,,M,0,08/11/2024
12,Rebecca Nixon,rebeccanixon.5q0@gmail.com,267-321-9111,20/10/2019,5,12/06/2017,,F,1,10/12/2022
13,Antonio Tran,antoniotran.pql@gmail.com,778-980-9606,23/02/2018,6,26/01/1997,,M,0,12/04/2023
14,Jeffrey West,jeffreywest.678@gmail.com,386-506-1273,16/01/2022,2,21/12/2002,,M,1,07/04/2023
15,Amy Villanueva,amyvillanueva.ggm@gmail.com,698-179-6662,25/08/2015,9,01/02/1999,,F,1,13/08/2024
16,Lauren Lee,laurenlee.5k5@gmail.com,142-670-5381,10/02/2018,6,19/10/2002,,F,0,19/01/2023
17,Anita Cox,anitacox.hpu@gmail.com,362-460-4452,11/02/2022,2,20/06/2017,,F,1,02/08/2022
18,John Thornton,johnthornton.196@gmail.com,192-660-3938,13/07/2015,9,05/08/2003,,M,1,06/12/2023
19,Jody Swanson,jodyswanson.d2e@gmail.com,192-373-4219,07/06/2021,3,09/09/1997,,F,0,10/06/2023
20,Kristine Silva,kristinesilva.2bo@gmail.com,715-955-2543,08/03/2024,0,18/05/1997,,F,1,06/11/2023
21,Kristin Perkins,kristinperkins.5vs@gmail.com,534-214-8913,02/11/2019,5,22/12/2010,,F,1,05/07/2023
22,Jennifer Bautista,jenniferbautista.ofi@gmail.com,693-302-8139,09/12/2021,3,13/04/1995,,F,1,04/02/2024
23,Amanda Gibson,amandagibson.yfa@gmail.com,205-669-1898,16/06/2020,4,05/10/2000,,F,0,05/08/2024
24,Scott Mahoney,scottmahoney.7ri@gmail.com,356-685-1801,01/10/2021,3,24/04/2010,,M,1,10/12/2024
25,Julie Becker,juliebecker.amy@gmail.com,152-771-3229,10/10/2023,1,26/05/2016,,F,1,22/07/2023
26,Victoria Garcia,victoriagarcia.fao@gmail.com,498-248-9972,16/07/2016,8,18/05/2010,,F,1,28/10/2024
27,Leslie Bell,lesliebell.kdq@gmail.com,887-155-7346,17/10/2022,2,21/03/2012,,M,0,03/12/2022
28,Patrick Morris,patrickmorris.pbo@gmail.com,422-729-5799,06/12/2020,4,09/11/2000,,M,0,08/06/2023
29,Brandon Adams,brandonadams.pwm@gmail.com,588-193-3139,02/02/2017,7,28/09/1996,,M,1,19/01/2023
30,Kimberly Newman,kimberlynewman.izo@gmail.com,101-652-2109,17/06/2016,8,17/09/2001,,F,1,05/09/2024
31,Amanda Mccormick,amandamccormick.jd0@gmail.com,792-370-4000,18/02/2023,1,15/02/1998,,F,1,13/10/2022
32,Dakota Torres,dakotatorres.h4k@gmail.com,508-655-1626,08/02/2017,7,20/05/2011,,M,1,08/11/2022
33,Lisa Smith,lisasmith.wo4@gmail.com,162-399-2303,23/04/2018,6,27/03/2007,,F,1,09/09/2024
34,Rachel Torres,racheltorres.km5@gmail.com,699-781-3488,17/03/2019,5,15/12/2002,,F,0,22/06/2022
35,John Butler,johnbutler.lsx@gmail.com,186-487-1692,04/08/2020,4,11/09/1999,,M,0,25/08/2022
36,Donald Walker,donaldwalker.9r0@gmail.com,462-406-1403,11/04/2019,5,13/03/1996,,M,1,26/02/2024
37,Terri Brennan,terribrennan.8v2@gmail.com,378-418-3847,17/11/2020,4,25/07/1999,,F,0,09/05/2023
38,Jessica Hanson,jessicahanson.ijf@gmail.com,611-596-3766,14/07/2024,0,04/12/2003,,F,1,08/04/2024
39,Amber Franklin,amberfranklin.3wt@gmail.com,667-448-6203,02/11/2015,9,09/01/2015,,F,0,16/06/2024
40,Martin Olson,martinolson.odh@gmail.com,123-574-7840,22/09/2017,7,20/05/2011,,M,1,05/05/2024
41,Susan Wilson,susanwilson.r8z@gmail.com,297-138-7828,07/12/2024,0,13/03/2014,,F,1,02/03/2023
42,Ashley Gomez,ashleygomez.xsf@gmail.com,600-813-5415,08/12/2016,8,28/02/2013,,F,1,26/12/2022
43,Anne Long,annelong.ajx@gmail.com,486-323-2106,21/07/2021,3,15/09/1995,,F,1,01/11/2023
44,Tony Ward,tonyward.1lj@gmail.com,920-889-8684,05/03/2017,7,26/04/2010,,M,1,21/09/2022
45,Eric Harmon,ericharmon.jn2@gmail.com,185-677-3722,28/08/2019,5,23/06/2006,,M,1,25/02/2023
46,Sue Hart,suehart.h8m@gmail.com,612-612-5491,20/01/2018,6,01/09/1997,,F,1,23/07/2022
47,Rebecca Sanchez,rebeccasanchez.os5@gmail.com,322-657-4915,12/11/2023,1,27/03/1998,,F,0,05/12/2024
48,Taylor Suarez,taylorsuarez.rm6@gmail.com,324-658-4377,01/12/2018,6,06/10/2004,,F,0,04/07/2024
49,Amanda Fox,amandafox.in0@gmail.com,940-479-5938,05/03/2016,8,26/01/1998,,F,0,13/09/2023
50,Tiffany Miranda,tiffanymiranda.0t1@gmail.com,101-581-4510,13/08/2021,3,15/08/1995,,F,0,22/07/2022
51,Karen Schmidt,karenschmidt.1yb@gmail.com,560-801-3548,02/06/2020,4,16/10/2003,,F,1,24/11/2022
52,Bonnie Anderson,bonnieanderson.3ai@gmail.com,217-756-1287,10/09/2023,1,05/10/2009,,F,1,21/09/2024
53,Terry Peterson,terrypeterson.01j@gmail.com,377-637-1622,14/05/2021,3,09/05/1998,,F,1,25/03/2022
54,Christine Walker,christinewalker.998@gmail.com,735-728-8991,22/12/2024,0,20/03/2014,,F,0,22/09/2024
55,Melvin Chang,melvinchang.313@gmail.com,709-423-6058,26/10/2019,5,19/05/1998,,M,1,02/11/2022
56,Jaime Shaw,jaimeshaw.z7v@gmail.com,408-660-4676,12/05/2024,0,13/08/2016,,F,1,12/08/2022
57,Keith Allen,keithallen.763@gmail.com,302-320-9148,08/05/2019,5,27/08/1996,,M,1,05/02/2023
58,Daniel Becker,danielbecker.c42@gmail.com,417-463-9016,11/05/2019,5,13/01/2012,,M,1,19/06/2024
59,Phillip Irwin,phillipirwin.eh2@gmail.com,741-168-4171,25/04/2019,5,18/10/1995,,M,0,05/06/2024
60,Joseph Dawson,josephdawson.cm5@gmail.com,548-352-5319,01/12/2024,0,15/11/2007,,M,1,19/04/2022
61,Jennifer Gomez,jennifergomez.3ij@gmail.com,868-324-6086,21/04/2018,6,22/09/2014,,F,0,25/10/2024
62,Kayla Parker,kaylaparker.u1q@gmail.com,681-310-4940,10/08/2018,6,10/02/2017,,F,0,02/10/2022
63,Chad Haas,chadhaas.py4@gmail.com,531-540-9599,24/10/2019,5,18/10/1996,,M,1,10/08/2022
64,Shannon Richard,shannonrichard.cdl@gmail.com,715-569-4898,03/02/2017,7,08/07/2002,,F,1,07/02/2023
65,Mary Ferguson,maryferguson.lw2@gmail.com,544-405-8148,25/09/2015,9,11/07/2008,,F,0,17/01/2022
66,Michelle Walker,michellewalker.ue5@gmail.com,304-650-7453,12/08/2019,5,18/10/2011,,F,0,06/10/2022
67,Connie Neal,connieneal.wvv@gmail.com,303-461-5610,27/07/2016,8,03/12/1996,,F,0,20/02/2024
68,Gabriel Summers,gabrielsummers.6nx@gmail.com,454-208-1183,08/04/2019,5,01/06/2011,,M,1,25/11/2022
69,Jerome Smith,jeromesmith.0gk@gmail.com,165-161-2993,24/03/2020,4,23/04/1998,,M,1,04/02/2022
70,David Gaines,davidgaines.yq7@gmail.com,730-480-4406,16/02/2022,2,13/10/2007,,M,0,28/02/2024
71,Megan Marshall,meganmarshall.avl@gmail.com,523-952-6104,26/12/2021,3,27/10/2012,,F,0,15/01/2024
72,Kayla Smith,kaylasmith.8zy@gmail.com,952-830-4441,27/01/2017,7,24/01/1998,,F,1,07/04/2022
73,Jonathan Sanchez,jonathansanchez.8ob@gmail.com,265-672-9077,01/09/2022,2,09/03/2000,,M,0,02/04/2024
74,Diane Parker,dianeparker.gj3@gmail.com,899-574-1575,26/04/2023,1,03/04/1998,,F,1,22/09/2022
75,Robert Fleming,robertfleming.euf@gmail.com,349-322-7157,25/11/2024,0,23/03/1995,,M,1,01/01/2022
76,Stephen Garcia,stephengarcia.ycu@gmail.com,304-303-4518,22/07/2024,0,04/03/2015,,M,0,15/07/2022
77,Jeffery Figueroa,jefferyfigueroa.jhr@gmail.com,129-989-7257,13/10/2019,5,10/08/2004,,M,0,24/11/2023
78,Zachary Watkins,zacharywatkins.5pp@gmail.com,535-242-2288,22/01/2016,8,07/01/2011,,M,1,27/07/2024
79,Jonathan Kim,jonathankim.xn9@gmail.com,208-671-5769,26/10/2018,6,21/02/2003,,M,1,13/05/2024
80,Laura Vasquez,lauravasquez.utl@gmail.com,856-446-5395,03/04/2022,2,06/05/2003,,F,0,13/11/2023
81,Phillip Robinson,philliprobinson.r9y@gmail.com,211-719-8154,13/02/2015,9,22/11/2006,,M,1,12/04/2023
82,Tara Jackson,tarajackson.ue5@gmail.com,511-338-5357,22/07/2022,2,24/08/1999,,F,0,08/03/2022
83,Rebecca Thompson,rebeccathompson.k22@gmail.com,998-423-1109,14/01/2016,8,15/03/1996,,F,0,16/10/2024
84,Bobby Yoder,bobbyyoder.y3m@gmail.com,402-246-2027,22/01/2017,7,22/02/2015,,M,0,11/12/2022
85,Jeffrey Lee,jeffreylee.ecg@gmail.com,689-560-9715,20/01/2021,3,07/11/2010,,M,0,23/12/2022
86,Timothy David,timothydavid.t4t@gmail.com,143-546-6540,23/08/2015,9,23/01/1997,,M,1,02/07/2023
87,Christopher Love,christopherlove.n63@gmail.com,445-248-1834,27/01/2023,1,04/12/1995,,M,1,09/07/2024
88,Julie Shepard,julieshepard.nor@gmail.com,750-269-5770,12/04/2017,7,21/05/1996,,F,0,04/05/2022
89,Carla Hartman,carlahartman.ndj@gmail.com,663-661-3285,09/03/2022,2,14/09/1997,,F,0,15/05/2023
90,Rachel James,racheljames.pyh@gmail.com,944-844-2735,28/01/2022,2,22/02/2005,,F,0,07/01/2023
91,Samuel Sandoval,samuelsandoval.l2r@gmail.com,308-501-9667,01/03/2018,6,11/11/2006,,M,0,25/04/2022
92,Kayla Brown,kaylabrown.o4r@gmail.com,322-842-1704,24/05/2016,8,06/09/2010,,F,1,26/07/2022
93,Danielle Bennett,daniellebennett.53l@gmail.com,781-216-2607,26/08/2020,4,01/05/2004,,F,0,15/11/2024
94,Matthew Stanton,matthewstanton.a82@gmail.com,921-981-8221,16/02/2018,6,23/10/2011,,M,1,21/10/2024
95,Craig Hodge,craighodge.avx@gmail.com,921-941-6954,19/01/2023,1,14/04/2014,,M,1,28/11/2024
96,Christina Harper,christinaharper.ml3@gmail.com,241-870-5706,26/02/2015,9,01/11/1996,,F,0,06/09/2023
97,John Ross,johnross.ne8@gmail.com,368-911-5246,23/09/2021,3,22/04/1995,,M,0,15/02/2024
98,Leslie Ward,leslieward.59v@gmail.com,637-135-7248,19/07/2019,5,20/05/1995,,F,1,28/02/2023
99,Ann Thomas,annthomas.dag@gmail.com,802-380-8992,01/09/2023,1,05/02/1996,,F,0,04/05/2024
100,Megan Garza,megangarza.uh4@gmail.com,737-370-7163,08/11/2024,0,10/12/2003,,F,0,25/04/2024
101,Erik Stewart,erikstewart.4uj@gmail.com,327-304-4721,18/10/2016,8,13/09/2006,,M,1,14/12/2024
